Nazwa grafu,Liczba wierzchołków,Liczba krawędzi,Liczba terminali,Czas wykonania [s],Optymalny koszt drzewa,Koszt drzewa
full_12,12,66,10,0.085666664,null,20,
null,14,91,10,0.011999999,null,39,
full_16,16,120,10,0.021333335,null,22,
full_18,18,153,10,0.014000001,null,30,
full_20,20,190,10,0.0046666665,null,20,
full_22,22,231,10,0.0043333336,null,23,
full_24,24,276,10,0.009999999,null,23,
full_26,26,325,10,0.009000001,null,28,
full_28,28,378,10,0.0069999993,null,16,
full_30,30,435,10,0.022666669,null,13,
full_32,32,496,10,0.005333333,null,19,
full_34,34,561,10,0.0046666665,null,22,
full_36,36,630,10,0.0070000007,null,18,
